X,Y
0.406011,-0.913739
0.400271,-0.916286
0.394515,-0.918797
0.388744,-0.92127
0.382957,-0.923705
0.377154,-0.926103
0.371335,-0.928463
0.365502,-0.930786
0.359653,-0.93307
0.35379,-0.935316
0.347912,-0.937524
0.34202,-0.939693
0.336114,-0.941823
0.330193,-0.943915
0.324259,-0.945967
0.318312,-0.947982
0.312351,-0.949957
0.306377,-0.951894
0.300391,-0.953792
0.294392,-0.955651
0.288381,-0.957471
0.282358,-0.959253
0.276323,-0.960996
0.270277,-0.9627
0.26422,-0.964366
0.258152,-0.965993
0.252073,-0.967581
0.245984,-0.96913
0.239885,-0.970641
0.233776,-0.972113
0.227657,-0.973546
0.221529,-0.97494
0.215392,-0.976296
0.209246,-0.977613
0.203092,-0.978891
0.196929,-0.98013
0.190758,-0.981331
0.184579,-0.982493
0.178393,-0.983616
0.172199,-0.984701
0.165999,-0.985747
0.159791,-0.986754
0.153577,-0.987722
0.147357,-0.988652
0.141131,-0.989543
0.134899,-0.990395
0.128661,-0.991208
0.122418,-0.991983
0.11617,-0.992719
0.109918,-0.993416
0.103661,-0.994074
0.0973994,-0.994694
0.0911342,-0.995275
0.0848652,-0.995817
0.0785928,-0.996321
0.0723171,-0.996786
0.0660386,-0.997212
0.0597573,-0.997599
0.0534736,-0.997948
0.0471877,-0.998258
0.0408999,-0.998529
0.0346104,-0.998761
0.0283195,-0.998955
0.0220275,-0.99911
0.0157346,-0.999226
0.009441,-0.999304
0.00314704,-0.999342
-0.00314704,-0.999342
-0.009441,-0.999304
-0.0157346,-0.999226
-0.0220275,-0.99911
-0.0283195,-0.998955
-0.0346104,-0.998761
-0.0408999,-0.998529
-0.0471877,-0.998258
-0.0534736,-0.997948
-0.0597573,-0.997599
-0.0660386,-0.997212
-0.0723171,-0.996786
-0.0785928,-0.996321
-0.0848652,-0.995817
-0.0911342,-0.995275
-0.0973994,-0.994694
-0.103661,-0.994074
-0.109918,-0.993416
-0.11617,-0.992719
-0.122418,-0.991983
-0.128661,-0.991208
-0.134899,-0.990395
-0.141131,-0.989543
-0.147357,-0.988652
-0.153577,-0.987722
-0.159791,-0.986754
-0.165999,-0.985747
-0.172199,-0.984701
-0.178393,-0.983616
-0.184579,-0.982493
-0.190758,-0.981331
-0.196929,-0.98013
-0.203092,-0.978891
-0.209246,-0.977613
-0.215392,-0.976296
-0.221529,-0.97494
-0.227657,-0.973546
-0.233776,-0.972113
-0.239885,-0.970641
-0.245984,-0.96913
-0.252073,-0.967581
-0.258152,-0.965993
-0.26422,-0.964366
-0.270277,-0.9627
-0.276323,-0.960996
-0.282358,-0.959253
-0.288381,-0.957471
-0.294392,-0.955651
-0.300391,-0.953792
-0.306377,-0.951894
-0.312351,-0.949957
-0.318312,-0.947982
-0.324259,-0.945967
-0.330193,-0.943915
-0.336114,-0.941823
-0.34202,-0.939693
-0.347912,-0.937524
-0.35379,-0.935316
-0.359653,-0.93307
-0.365502,-0.930786
-0.371335,-0.928463
-0.377154,-0.926103
-0.382957,-0.923705
-0.388744,-0.92127
-0.394515,-0.918797
-0.400271,-0.916286
-0.406011,-0.913739
-0.411734,-0.911155
-0.417441,-0.908534
-0.423131,-0.905876
-0.428804,-0.903182
-0.43446,-0.900452
-0.440099,-0.897685
-0.445721,-0.894883
-0.451324,-0.892045
-0.45691,-0.889171
-0.462478,-0.886262
-0.468028,-0.883318
-0.473559,-0.880338
-0.479072,-0.877324
-0.484566,-0.874275
-0.490041,-0.871191
-0.495497,-0.868072
-0.500934,-0.86492
-0.506351,-0.861733
-0.511748,-0.858512
-0.517125,-0.855258
-0.522483,-0.85197
-0.52782,-0.848648
-0.533136,-0.845293
-0.538432,-0.841905
-0.543707,-0.838484
-0.548961,-0.835031
-0.554194,-0.831544
-0.559405,-0.828025
-0.564595,-0.824474
-0.569763,-0.820891
-0.574909,-0.817276
-0.580032,-0.813628
-0.585134,-0.80995
-0.590212,-0.806239
-0.595268,-0.802498
-0.600301,-0.798725
-0.605311,-0.794921
-0.610298,-0.791087
-0.615261,-0.787222
-0.6202,-0.783326
-0.625116,-0.7794
-0.630007,-0.775444
-0.634875,-0.771457
-0.639717,-0.767441
-0.644535,-0.763396
-0.649329,-0.75932
-0.654097,-0.755216
-0.65884,-0.751082
-0.663557,-0.746919
-0.668249,-0.742727
-0.672915,-0.738507
-0.677556,-0.734258
-0.68217,-0.729981
-0.686757,-0.725676
-0.691319,-0.721342
-0.695853,-0.716981
-0.70036,-0.712592
-0.704841,-0.708175
-0.709294,-0.703732
-0.71372,-0.69926
-0.718117,-0.694762
-0.722488,-0.690237
-0.726829,-0.685686
-0.731143,-0.681107
-0.735429,-0.676503
-0.739685,-0.671872
-0.743913,-0.667215
-0.748112,-0.662532
-0.752282,-0.657824
-0.756422,-0.653089
-0.760533,-0.64833
-0.764613,-0.643545
-0.768664,-0.638736
-0.772685,-0.633901
-0.776676,-0.629041
-0.780636,-0.624157
-0.784565,-0.619249
-0.788463,-0.614317
-0.792331,-0.60936
-0.796167,-0.604379
-0.799971,-0.599375
-0.803744,-0.594347
-0.807485,-0.589296
-0.811194,-0.584221
-0.814871,-0.579123
-0.818515,-0.574003
-0.822127,-0.568859
-0.825706,-0.563694
-0.829252,-0.558505
-0.832764,-0.553295
-0.836244,-0.548062
-0.83969,-0.542807
-0.843102,-0.537531
-0.84648,-0.532233
-0.849824,-0.526913
-0.853133,-0.521572
-0.856409,-0.516211
-0.859649,-0.510828
-0.862855,-0.505424
-0.866025,-0.5
-0.869161,-0.494555
-0.872261,-0.489091
-0.875325,-0.483606
-0.878355,-0.478101
-0.881348,-0.472577
-0.884306,-0.467034
-0.887229,-0.461472
-0.890116,-0.455891
-0.892967,-0.450291
-0.895782,-0.444674
-0.898561,-0.439038
-0.901305,-0.433384
-0.904012,-0.427713
-0.906683,-0.422025
-0.909318,-0.41632
-0.911918,-0.410597
-0.91448,-0.404859
-0.917007,-0.399104
-0.919497,-0.393333
-0.921951,-0.387546
-0.924368,-0.381743
-0.926749,-0.375926
-0.929093,-0.370093
-0.9314,-0.364245
-0.933671,-0.358383
-0.935905,-0.352506
-0.938102,-0.346615
-0.940262,-0.34071
-0.942385,-0.334792
-0.944471,-0.32886
-0.94652,-0.322916
-0.948532,-0.316958
-0.950506,-0.310988
-0.952444,-0.305005
-0.954344,-0.29901
-0.956206,-0.293003
-0.958031,-0.286984
-0.959819,-0.280955
-0.961569,-0.274913
-0.963281,-0.268861
-0.964956,-0.262799
-0.966593,-0.256725
-0.968192,-0.250642
-0.969753,-0.244548
-0.971276,-0.238445
-0.972761,-0.232333
-0.974208,-0.226211
-0.975617,-0.22008
-0.976988,-0.21394
-0.97832,-0.207792
-0.979614,-0.201636
-0.98087,-0.195471
-0.982087,-0.189299
-0.983266,-0.183119
-0.984406,-0.176932
-0.985508,-0.170738
-0.986571,-0.164538
-0.987595,-0.15833
-0.98858,-0.152117
-0.989527,-0.145897
-0.990434,-0.139671
-0.991303,-0.13344
-0.992132,-0.127203
-0.992922,-0.120962
-0.993674,-0.114715
-0.994385,-0.108464
-0.995058,-0.102209
-0.995691,-0.0959493
-0.996285,-0.0896859
-0.996839,-0.0834188
-0.997354,-0.0771484
-0.997829,-0.0708748
-0.998265,-0.0645983
-0.99866,-0.0583192
-0.999016,-0.0520376
-0.999332,-0.0457539
-0.999608,-0.0394683
-0.999845,-0.0331809
-1.00004,-0.0268922
-1.0002,-0.0206022
-1.00031,-0.0143113
-1.00039,-0.00801972
-1.00042,-0.00172765
-1.00042,0.00456464
-1.00037,0.0108569
-1.00029,0.0171489
-1.00016,0.0234404
-0.999994,0.0297311
-0.999786,0.0360208
-0.999538,0.0423093
-0.999249,0.0485963
-0.998919,0.0548816
-0.998548,0.0611648
-0.998136,0.0674459
-0.997683,0.0737245
-0.997189,0.0800004
-0.996654,0.0862733
-0.996078,0.0925431
-0.99546,0.0988094
-0.994801,0.105072
-0.994101,0.111331
-0.993359,0.117585
-0.992576,0.123835
-0.991751,0.130081
-0.990884,0.136321
-0.989976,0.142557
-0.989026,0.148787
-0.988035,0.155011
-0.987001,0.16123
-0.985925,0.167442
-0.984808,0.173648
-0.983648,0.179848
-0.982447,0.18604
-0.981204,0.192226
-0.979919,0.198404
-0.978593,0.204574
-0.977226,0.210737
-0.975818,0.216892
-0.974369,0.223038
-0.97288,0.229176
-0.97135,0.235305
-0.969781,0.241425
-0.968171,0.247536
-0.966521,0.253637
-0.964832,0.259728
-0.963104,0.26581
-0.961336,0.271881
-0.95953,0.277941
-0.957684,0.283991
-0.9558,0.29003
-0.953877,0.296058
-0.951917,0.302074
-0.949918,0.308079
-0.947881,0.314071
-0.945807,0.320052
-0.943695,0.32602
-0.941546,0.331975
-0.939359,0.337917
-0.937136,0.343846
-0.934876,0.349762
-0.93258,0.355664
-0.930247,0.361552
-0.927878,0.367426
-0.925473,0.373286
-0.923032,0.379131
-0.920556,0.384961
-0.918045,0.390776
-0.915498,0.396576
-0.912916,0.40236
-0.910299,0.408128
-0.907648,0.41388
-0.904962,0.419616
-0.902242,0.425335
-0.899489,0.431038
-0.896701,0.436723
-0.893879,0.442391
-0.891024,0.448042
-0.888136,0.453674
-0.885215,0.459289
-0.88226,0.464885
-0.879273,0.470463
-0.876254,0.476022
-0.873202,0.481563
-0.870118,0.487083
-0.867002,0.492585
-0.863855,0.498067
-0.860675,0.503528
-0.857465,0.50897
-0.854223,0.514391
-0.85095,0.519791
-0.847647,0.52517
-0.844312,0.530528
-0.840948,0.535865
-0.837553,0.54118
-0.834128,0.546473
-0.830673,0.551744
-0.827189,0.556993
-0.823675,0.562219
-0.820132,0.567422
-0.81656,0.572602
-0.812958,0.577758
-0.809329,0.582891
-0.80567,0.588
-0.801984,0.593085
-0.798269,0.598145
-0.794526,0.603181
-0.790755,0.608192
-0.786957,0.613178
-0.783132,0.618139
-0.779279,0.623074
-0.7754,0.627984
-0.771493,0.632867
-0.76756,0.637724
-0.763601,0.642554
-0.759615,0.647358
-0.755604,0.652135
-0.751566,0.656884
-0.747503,0.661606
-0.743414,0.6663
-0.7393,0.670966
-0.735161,0.675604
-0.730998,0.680213
-0.726809,0.684794
-0.722596,0.689345
-0.718359,0.693868
-0.714097,0.698361
-0.709812,0.702824
-0.705502,0.707258
-0.70117,0.711661
-0.696814,0.716033
-0.692434,0.720376
-0.688032,0.724687
-0.683607,0.728967
-0.679159,0.733215
-0.674689,0.737432
-0.670197,0.741617
-0.665683,0.74577
-0.661147,0.749891
-0.656589,0.753979
-0.65201,0.758034
-0.647409,0.762056
-0.642788,0.766044
-0.638145,0.77
-0.633482,0.773921
-0.628798,0.777809
-0.624092,0.781663
-0.619366,0.785484
-0.61462,0.789271
-0.609852,0.793025
-0.605063,0.796745
-0.600254,0.800431
-0.595423,0.804084
-0.590572,0.807703
-0.5857,0.811289
-0.580807,0.814841
-0.575893,0.818359
-0.570958,0.821844
-0.566003,0.825295
-0.561026,0.828713
-0.556029,0.832097
-0.55101,0.835447
-0.545971,0.838764
-0.540911,0.842048
-0.53583,0.845297
-0.530728,0.848514
-0.525606,0.851696
-0.520462,0.854845
-0.515297,0.85796
-0.510112,0.861042
-0.504906,0.86409
-0.499679,0.867105
-0.494431,0.870086
-0.489162,0.873033
-0.483872,0.875947
-0.478562,0.878827
-0.47323,0.881674
-0.467878,0.884487
-0.462504,0.887267
-0.45711,0.890013
-0.451695,0.892725
-0.446259,0.895404
-0.440802,0.898049
-0.435325,0.90066
-0.429826,0.903238
-0.424307,0.905783
-0.418766,0.908293
-0.413205,0.910771
-0.407623,0.913214
-0.40202,0.915624
-0.396396,0.918001
-0.390752,0.920343
-0.385086,0.922653
-0.3794,0.924928
-0.373692,0.92717
-0.367964,0.929379
-0.362215,0.931554
-0.356445,0.933695
-0.350654,0.935803
-0.344842,0.937877
-0.33901,0.939917
-0.333156,0.941924
-0.327282,0.943898
-0.321386,0.945837
-0.31547,0.947744
-0.309533,0.949616
-0.303575,0.951455
-0.297596,0.953261
-0.291597,0.955032
-0.285576,0.956771
-0.279535,0.958475
-0.273472,0.960146
-0.267389,0.961784
-0.261285,0.963388
-0.25516,0.964958
-0.249014,0.966495
-0.242848,0.967998
-0.23666,0.969467
-0.230452,0.970903
-0.224222,0.972306
-0.217972,0.973674
-0.211701,0.97501
-0.205409,0.976311
-0.199096,0.977579
-0.192762,0.978813
-0.186408,0.980014
-0.180032,0.981182
-0.173636,0.982315
-0.167218,0.983415
-0.16078,0.984482
-0.154321,0.985515
-0.147841,0.986514
-0.14134,0.987479
-0.134819,0.988412
-0.128276,0.98931
-0.121713,0.990175
-0.115128,0.991006
-0.108523,0.991804
-0.101897,0.992568
-0.09525,0.993299
-0.0885822,0.993996
-0.0818934,0.994659
-0.0751838,0.995289
-0.0684533,0.995885
-0.061702,0.996448
-0.0549297,0.996977
-0.0481366,0.997472
-0.0413226,0.997934
-0.0344877,0.998362
-0.0276319,0.998757
-0.0207552,0.999118
-0.0138577,0.999446
-0.0069393,0.99974
-2.22045e-16,1
